Gene	withingroup.factor	acrossgroup.factor	rescale.factor
AC008964.1	1	1	1
AC008967.1	1	1	1
AC008982.2	1.036	5.234	5.234
AC008984.2	1	1	1
AC008991.1	1	1	1
AC008992.1	1	1	1
AC009005.2	1	1.825	1.825
AC009009.1	1	1	1
AC009014.3	1	1	1
AC009035.1	1	1	1
AC009041.2	1	1	1
AC009052.12	1	1	1
AC009060.1	1	1	1
AC009065.1	1	1	1
AC009065.2	1	1	1
AC009065.3	1	1	1
AC009080.1	1	1	1
AC009081.1	1	1	1
AC009095.4	1	1	1
AC009110.1	1	1	1
AC009120.10	1	1	1
AC009120.4	1	1	1
AC009120.5	1	1	1
AC009120.6	1	1	1
AC009121.1	1	1	1
AC009132.1	1	1	1
AC009133.12	1	1	1
AC009133.14	1	1	1
AC009133.15	1	1	1
AC009133.17	1	1	1
AC009133.20	1	1	1
AC009133.21	1	1	1
AC009134.1	1	1	1
AC009142.1	1	1	1
AC009158.1	1	1	1
AC009159.1	1	1	1
AC009166.5	1	1	1
AC009196.1	1	1	1
AC009227.2	1	1	1
AC009227.3	1	1	1
AC009228.1	1	1	1
AC009229.5	1	1	1
AC009229.6	1	1	1
AC009232.2	1	1	1
AC009234.2	1	1	1
AC009236.1	1	1	1
AC009236.2	1	1	1
AC009237.8	1	1	1
AC009262.2	1	1	1
AC009276.4	1	1	1
AC009297.1	1	1	1
AC009299.1	1	1	1
AC009299.2	1	1	1
AC009299.3	1	1	1
AC009303.1	1	1	1
AC009305.1	1	1	1
AC009305.2	1	1	1
AC009312.1	1	1	1
AC009313.1	1	1	1
AC009336.1	1	1	1
AC009336.24	1	1	1
AC009365.3	1	1	1
AC009365.4	1	1	1
AC009403.2	1	1	1
AC009404.2	1	1	1
AC009410.1	1	1	1
AC009411.1	1	1	1
AC009411.2	1	1	1
AC009473.1	1	1	1
AC009478.1	1	1	1
AC009478.2	1	1	1
AC009480.1	1	1	1
AC009480.3	1	1	1
AC009487.4	1	1	1
AC009487.5	1	1	1
AC009492.1	1	1	1
AC009495.1	1	1	1
AC009495.2	1	1	1
AC009495.3	1	1	1
AC009495.4	1	1	1
AC009498.1	1	1	1
AC009499.1	1	1	1
AC009499.2	1	1	1
AC009501.4	1	1	1
AC009502.4	1	1	1
AC009505.2	1	1	1
AC009505.4	1	1	1
AC009506.1	1.095	1	1.095
AC009508.1	1	1	1
AC009518.4	1	1	1
AC009518.8	1	1	1
AC009531.2	1	1	1
AC009542.2	1	1	1
AC009677.1	1	1	1
AC009695.1	1	1	1
AC009779.1	1	1	1
AC009784.1	1	1	1
AC009784.3	1	1	1
AC009800.1	1	1	1
AC009802.1	1	1	1
AC009831.1	1	1	1
AC009835.1	1	1	1
AC009878.2	1	1	1
AC009892.1	1	1	1
AC009892.10	1	1	1
AC009941.1	1	1	1
AC009947.3	1	1	1
AC009948.5	1.04	3.476	3.476
AC009950.2	1	1	1
AC009955.8	1	1	1
AC009961.3	1	1	1
AC009965.2	1	1	1
AC009970.1	1	1	1
AC009977.1	1	1	1
AC009987.1	1	1	1
AC009994.2	1	1	1
AC009997.1	1	1	1
AC010082.2	1	1	1
AC010084.1	1	1	1
AC010090.1	1	1	1
AC010091.1	1	1	1
